,date,price
0,1990-08-20,1.191
1,1990-08-27,1.245
2,1990-09-03,1.242
3,1990-09-10,1.252
4,1990-09-17,1.266
5,1990-09-24,1.272
6,1990-10-01,1.321
7,1990-10-08,1.333
8,1990-10-15,1.339
9,1990-10-22,1.345
10,1990-10-29,1.339
11,1990-11-05,1.334
12,1990-11-12,1.328
13,1990-11-19,1.323
14,1990-11-26,1.311
15,1990-12-03,1.341
16,1990-12-10,1.341
17,1990-12-17,1.341
18,1990-12-24,1.341
19,1990-12-31,1.341
20,1991-01-07,1.341
21,1991-01-14,1.341
22,1991-01-21,1.192
23,1991-01-28,1.168
24,1991-02-04,1.139
25,1991-02-11,1.106
26,1991-02-18,1.078
27,1991-02-25,1.054
28,1991-03-04,1.025
29,1991-03-11,1.045
30,1991-03-18,1.043
31,1991-03-25,1.047
32,1991-04-01,1.052
33,1991-04-08,1.066
34,1991-04-15,1.069
35,1991-04-22,1.09
36,1991-04-29,1.104
37,1991-05-06,1.113
38,1991-05-13,1.121
39,1991-05-20,1.129
40,1991-05-27,1.14
41,1991-06-03,1.138
42,1991-06-10,1.135
43,1991-06-17,1.126
44,1991-06-24,1.114
45,1991-07-01,1.104
46,1991-07-08,1.098
47,1991-07-15,1.094
48,1991-07-22,1.091
49,1991-07-29,1.091
50,1991-08-05,1.099
51,1991-08-12,1.112
52,1991-08-19,1.124
53,1991-08-26,1.124
54,1991-09-02,1.127
55,1991-09-09,1.12
56,1991-09-16,1.11
57,1991-09-23,1.097
58,1991-09-30,1.092
59,1991-10-07,1.089
60,1991-10-14,1.084
61,1991-10-21,1.088
62,1991-10-28,1.091
63,1991-11-04,1.091
64,1991-11-11,1.102
65,1991-11-18,1.104
66,1991-11-25,1.099
67,1991-12-02,1.099
68,1991-12-09,1.091
69,1991-12-16,1.075
70,1991-12-23,1.063
71,1991-12-30,1.053
72,1992-01-06,1.042
73,1992-01-13,1.026
74,1992-01-20,1.014
75,1992-01-27,1.006
76,1992-02-03,0.995
77,1992-02-10,1.004
78,1992-02-17,1.011
79,1992-02-24,1.014
80,1992-03-02,1.012
81,1992-03-09,1.013
82,1992-03-16,1.01
83,1992-03-23,1.015
84,1992-03-30,1.013
85,1992-04-06,1.026
86,1992-04-13,1.051
87,1992-04-20,1.058
88,1992-04-27,1.072
89,1992-05-04,1.089
90,1992-05-11,1.102
91,1992-05-18,1.118
92,1992-05-25,1.12
93,1992-06-01,1.128
94,1992-06-08,1.143
95,1992-06-15,1.151
96,1992-06-22,1.153
97,1992-06-29,1.149
98,1992-07-06,1.147
99,1992-07-13,1.139
100,1992-07-20,1.132
101,1992-07-27,1.128
102,1992-08-03,1.126
103,1992-08-10,1.123
104,1992-08-17,1.116
105,1992-08-24,1.123
106,1992-08-31,1.121
107,1992-09-07,1.121
108,1992-09-14,1.124
109,1992-09-21,1.123
110,1992-09-28,1.118
111,1992-10-05,1.115
112,1992-10-12,1.115
113,1992-10-19,1.113
114,1992-10-26,1.113
115,1992-11-02,1.12
116,1992-11-09,1.12
117,1992-11-16,1.112
118,1992-11-23,1.106
119,1992-11-30,1.098
120,1992-12-07,1.089
121,1992-12-14,1.078
122,1992-12-21,1.074
123,1992-12-28,1.069
124,1993-01-04,1.065
125,1993-01-11,1.066
126,1993-01-18,1.061
127,1993-01-25,1.055
128,1993-02-01,1.055
129,1993-02-08,1.062
130,1993-02-15,1.053
131,1993-02-22,1.047
132,1993-03-01,1.042
