Back to Contents,Data 1: Retail
Sourcekey,EMM_EPMR_PTE_NUS_DPG
Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
1990-08-20 00:00:00,1.191
1990-08-27 00:00:00,1.245
1990-09-03 00:00:00,1.242
1990-09-10 00:00:00,1.252
1990-09-17 00:00:00,1.266
1990-09-24 00:00:00,1.272
1990-10-01 00:00:00,1.321
1990-10-08 00:00:00,1.333
1990-10-15 00:00:00,1.339
1990-10-22 00:00:00,1.345
1990-10-29 00:00:00,1.339
1990-11-05 00:00:00,1.334
1990-11-12 00:00:00,1.328
1990-11-19 00:00:00,1.323
1990-11-26 00:00:00,1.311
1990-12-03 00:00:00,1.341
1990-12-10 00:00:00,
1990-12-17 00:00:00,
1990-12-24 00:00:00,
1990-12-31 00:00:00,
1991-01-07 00:00:00,
1991-01-14 00:00:00,
1991-01-21 00:00:00,1.192
1991-01-28 00:00:00,1.168
1991-02-04 00:00:00,1.139
1991-02-11 00:00:00,1.106
1991-02-18 00:00:00,1.078
1991-02-25 00:00:00,1.054
1991-03-04 00:00:00,1.025
1991-03-11 00:00:00,1.045
1991-03-18 00:00:00,1.043
1991-03-25 00:00:00,1.047
1991-04-01 00:00:00,1.052
1991-04-08 00:00:00,1.066
1991-04-15 00:00:00,1.069
1991-04-22 00:00:00,1.09
1991-04-29 00:00:00,1.104
1991-05-06 00:00:00,1.113
1991-05-13 00:00:00,1.121
1991-05-20 00:00:00,1.129
1991-05-27 00:00:00,1.14
1991-06-03 00:00:00,1.138
1991-06-10 00:00:00,1.135
1991-06-17 00:00:00,1.126
1991-06-24 00:00:00,1.114
1991-07-01 00:00:00,1.104
1991-07-08 00:00:00,1.098
1991-07-15 00:00:00,1.094
1991-07-22 00:00:00,1.091
1991-07-29 00:00:00,1.091
1991-08-05 00:00:00,1.099
1991-08-12 00:00:00,1.112
1991-08-19 00:00:00,1.124
1991-08-26 00:00:00,1.124
1991-09-02 00:00:00,1.127
1991-09-09 00:00:00,1.12
1991-09-16 00:00:00,1.11
1991-09-23 00:00:00,1.097
1991-09-30 00:00:00,1.092
1991-10-07 00:00:00,1.089
1991-10-14 00:00:00,1.084
1991-10-21 00:00:00,1.088
1991-10-28 00:00:00,1.091
1991-11-04 00:00:00,1.091
1991-11-11 00:00:00,1.102
1991-11-18 00:00:00,1.104
1991-11-25 00:00:00,1.099
1991-12-02 00:00:00,1.099
1991-12-09 00:00:00,1.091
1991-12-16 00:00:00,1.075
1991-12-23 00:00:00,1.063
1991-12-30 00:00:00,1.053
1992-01-06 00:00:00,1.042
1992-01-13 00:00:00,1.026
1992-01-20 00:00:00,1.014
1992-01-27 00:00:00,1.006
1992-02-03 00:00:00,0.995
1992-02-10 00:00:00,1.004
1992-02-17 00:00:00,1.011
1992-02-24 00:00:00,1.014
1992-03-02 00:00:00,1.012
1992-03-09 00:00:00,1.013
1992-03-16 00:00:00,1.01
1992-03-23 00:00:00,1.015
1992-03-30 00:00:00,1.013
1992-04-06 00:00:00,1.026
1992-04-13 00:00:00,1.051
1992-04-20 00:00:00,1.058
1992-04-27 00:00:00,1.072
1992-05-04 00:00:00,1.089
1992-05-11 00:00:00,1.102
1992-05-18 00:00:00,1.118
1992-05-25 00:00:00,1.12
1992-06-01 00:00:00,1.128
1992-06-08 00:00:00,1.143
1992-06-15 00:00:00,1.151
1992-06-22 00:00:00,1.153
1992-06-29 00:00:00,1.149
1992-07-06 00:00:00,1.147
1992-07-13 00:00:00,1.139
1992-07-20 00:00:00,1.132
1992-07-27 00:00:00,1.128
1992-08-03 00:00:00,1.126
1992-08-10 00:00:00,1.123
1992-08-17 00:00:00,1.116
1992-08-24 00:00:00,1.123
1992-08-31 00:00:00,1.121
1992-09-07 00:00:00,1.121
1992-09-14 00:00:00,1.124
1992-09-21 00:00:00,1.123
1992-09-28 00:00:00,1.118
1992-10-05 00:00:00,1.115
1992-10-12 00:00:00,1.115
1992-10-19 00:00:00,1.113
1992-10-26 00:00:00,1.113
1992-11-02 00:00:00,1.12
1992-11-09 00:00:00,1.12
1992-11-16 00:00:00,1.112
1992-11-23 00:00:00,1.106
1992-11-30 00:00:00,1.098
1992-12-07 00:00:00,1.089
1992-12-14 00:00:00,1.078
1992-12-21 00:00:00,1.074
1992-12-28 00:00:00,1.069
1993-01-04 00:00:00,1.065
1993-01-11 00:00:00,1.066
1993-01-18 00:00:00,1.061
1993-01-25 00:00:00,1.055
1993-02-01 00:00:00,1.055
1993-02-08 00:00:00,1.062
1993-02-15 00:00:00,1.053
1993-02-22 00:00:00,1.047
1993-03-01 00:00:00,1.042
1993-03-08 00:00:00,1.048
1993-03-15 00:00:00,1.058
1993-03-22 00:00:00,1.056
1993-03-29 00:00:00,1.057
1993-04-05 00:00:00,1.068
1993-04-12 00:00:00,1.079
1993-04-19 00:00:00,1.079
1993-04-26 00:00:00,1.086
1993-05-03 00:00:00,1.086
1993-05-10 00:00:00,1.097
1993-05-17 00:00:00,1.106
1993-05-24 00:00:00,1.106
1993-05-31 00:00:00,1.107
1993-06-07 00:00:00,1.104
1993-06-14 00:00:00,1.101
1993-06-21 00:00:00,1.095
1993-06-28 00:00:00,1.089
1993-07-05 00:00:00,1.086
1993-07-12 00:00:00,1.081
1993-07-19 00:00:00,1.075
1993-07-26 00:00:00,1.069
1993-08-02 00:00:00,1.062
1993-08-09 00:00:00,1.06
1993-08-16 00:00:00,1.059
1993-08-23 00:00:00,1.065
1993-08-30 00:00:00,1.062
1993-09-06 00:00:00,1.055
1993-09-13 00:00:00,1.051
1993-09-20 00:00:00,1.045
1993-09-27 00:00:00,1.047
1993-10-04 00:00:00,1.092
1993-10-11 00:00:00,1.09
1993-10-18 00:00:00,1.093
1993-10-25 00:00:00,1.092
1993-11-01 00:00:00,1.084
1993-11-08 00:00:00,1.075
1993-11-15 00:00:00,1.064
1993-11-22 00:00:00,1.058
1993-11-29 00:00:00,1.051
1993-12-06 00:00:00,1.036
1993-12-13 00:00:00,1.018
1993-12-20 00:00:00,1.003
1993-12-27 00:00:00,0.999
1994-01-03 00:00:00,0.992
1994-01-10 00:00:00,0.995
1994-01-17 00:00:00,1.001
1994-01-24 00:00:00,0.999
1994-01-31 00:00:00,1.005
1994-02-07 00:00:00,1.007
1994-02-14 00:00:00,1.016
1994-02-21 00:00:00,1.009
1994-02-28 00:00:00,1.004
1994-03-07 00:00:00,1.007
1994-03-14 00:00:00,1.005
1994-03-21 00:00:00,1.007
1994-03-28 00:00:00,1.012
1994-04-04 00:00:00,1.011
1994-04-11 00:00:00,1.028
1994-04-18 00:00:00,1.033
1994-04-25 00:00:00,1.037
1994-05-02 00:00:00,1.04
1994-05-09 00:00:00,1.045
1994-05-16 00:00:00,1.046
1994-05-23 00:00:00,1.05
1994-05-30 00:00:00,1.056
1994-06-06 00:00:00,1.065
1994-06-13 00:00:00,1.073
1994-06-20 00:00:00,1.079
1994-06-27 00:00:00,1.095
1994-07-04 00:00:00,1.097
1994-07-11 00:00:00,1.103
1994-07-18 00:00:00,1.109
1994-07-25 00:00:00,1.114
1994-08-01 00:00:00,1.13
1994-08-08 00:00:00,1.157
1994-08-15 00:00:00,1.161
1994-08-22 00:00:00,1.165
1994-08-29 00:00:00,1.161
1994-09-05 00:00:00,1.156
1994-09-12 00:00:00,1.15
1994-09-19 00:00:00,1.14
1994-09-26 00:00:00,1.129
1994-10-03 00:00:00,1.12
1994-10-10 00:00:00,1.114
1994-10-17 00:00:00,1.106
1994-10-24 00:00:00,1.107
1994-10-31 00:00:00,1.121
1994-11-07 00:00:00,1.123
1994-11-14 00:00:00,1.122
1994-11-21 00:00:00,1.113
1994-11-28 00:00:00,1.105
1994-12-05 00:00:00,1.103
1994-12-12 00:00:00,1.095
1994-12-19 00:00:00,1.087
1994-12-26 00:00:00,1.077
1995-01-02 00:00:00,1.079
1995-01-09 00:00:00,1.086
1995-01-16 00:00:00,1.078
1995-01-23 00:00:00,1.083
1995-01-30 00:00:00,1.083
1995-02-06 00:00:00,1.076
1995-02-13 00:00:00,1.074
1995-02-20 00:00:00,1.067
1995-02-27 00:00:00,1.073
1995-03-06 00:00:00,1.076
1995-03-13 00:00:00,1.069
1995-03-20 00:00:00,1.068
1995-03-27 00:00:00,1.075
1995-04-03 00:00:00,1.087
1995-04-10 00:00:00,1.103
1995-04-17 00:00:00,1.117
1995-04-24 00:00:00,1.138
1995-05-01 00:00:00,1.148
1995-05-08 00:00:00,1.169
1995-05-15 00:00:00,1.179
